text,label
Denali is North America's peak.,Denali
Kilimanjaro rises in Tanzania.,Kilimanjaro
Matterhorn graces the Alpine range.,Matterhorn
Pikes Peak offers stunning views.,Pikes Peak
Fuji dominates Japan's skyline.,Fuji
Aconcagua reigns in South America.,Aconcagua
Elbrus stands in the Caucasus.,Elbrus
Andes showcase majestic Aconcagua.,Aconcagua
"Rainier, a Washington stratovolcano.",Rainier
Alps boast stunning Mont Blanc.,Mont Blanc
Himalaya flaunts formidable K2.,K2
"Whitney, highest in contiguous USA.",Whitney
"Olympus, a famous Greek peak.",Olympus
Grand Teton stands tall.,Grand Teton
"McKinley, Alaska's pride.",McKinley
"Logan, Canada's highest.",Logan
"Mauna Kea, a Hawaiian volcano.",Mauna Kea
"Etna, Europe's active volcano.",Etna
"Hood, iconic Oregon peak.",Hood
St. Helens erupted in 1980.,St. Helens
Vesuvius known for AD 79 eruption.,Vesuvius
"Shasta, spiritual California landmark.",Shasta
"Cook, New Zealand's crown jewel.",Cook
"Logan, part of St. Elias Range.",Logan
"Elbert, Colorado's highest.",Elbert
"Denali, officially McKinley.",Denali
"Everest, world's highest peak.",Everest
"Kilimanjaro, Africa's tallest.",Kilimanjaro
"Matterhorn, iconic Alpine peak.",Matterhorn
"Denali, North America's tallest peak.",Denali
"Kilimanjaro, Africa's iconic mountain.",Kilimanjaro
"Matterhorn, majestic Alpine landmark.",Matterhorn
"Pikes Peak, Colorado's scenic summit.",Pikes Peak
"Fuji, Japan's famous volcanic peak.",Fuji
"Aconcagua, South America's highest peak.",Aconcagua
"Elbrus, Europe's towering mountain.",Elbrus
Andes showcase Aconcagua's grandeur.,Aconcagua
"Rainier, Washington's volcanic beauty.",Rainier
"Denali, North America's tallest peak.",Denali
"Kilimanjaro, Africa's iconic volcano.",Kilimanjaro
"Matterhorn, Alpine beauty in Switzerland.",Matterhorn
"Pikes Peak, Colorado's famous landmark.",Pikes Peak
"Fuji, Japan's serene volcanic symbol.",Fuji
"Aconcagua, South America's highest ascent.",Aconcagua
"Elbrus, Europe's towering mountain.",Elbrus
Andes showcase Aconcagua's grandeur.,Aconcagua
"Rainier, Washington's volcanic beauty.",Rainier
"Alps, featuring Mont Blanc's splendor.",Mont Blanc
"Himalaya, home to K2's challenging ascent.",K2
"Whitney, USA's highest Sierra summit.",Whitney
"Olympus, mythical peak in Greece.",Olympus
"Grand Teton, Wyoming's stunning mountain.",Grand Teton
"McKinley, Alaska's pride and glory.",McKinley
"Logan, Canada's towering summit.",Logan
"Mauna Kea, Hawaii's sacred volcanic peak.",Mauna Kea
"Etna, Europe's fiery stratovolcano.",Etna
"Hood, iconic peak in the Cascades.",Hood
St. Helens erupted catastrophically in 1980.,St. Helens
"Vesuvius, known for AD 79 eruption.",Vesuvius
"Shasta, California's spiritual landmark.",Shasta
"Cook, New Zealand's crown jewel.",Cook
"Logan, part of majestic St. Elias Range.",Logan
"Elbert, Colorado's highest summit.",Elbert
"Denali, officially McKinley's name.",Denali
"Everest, world's towering peak.",Everest
"Kilimanjaro, Africa's majestic summit.",Kilimanjaro
"Matterhorn, Alpine beauty in Switzerland.",Matterhorn
"Pikes Peak, Colorado's famous landmark.",Pikes Peak
"Fuji, Japan's serene volcanic symbol.",Fuji
"Aconcagua, South America's highest ascent.",Aconcagua
"Elbrus, Europe's towering mountain.",Elbrus
Andes showcase Aconcagua's grandeur.,Aconcagua
"Rainier, Washington's volcanic beauty.",Rainier
"Alps, featuring Mont Blanc's splendor.",Mont Blanc
"Himalaya, home to K2's challenging ascent.",K2
"Whitney, USA's highest Sierra summit.",Whitney
"Denali, North America's towering peak.",Denali
"Kilimanjaro, Africa's iconic volcano.",Kilimanjaro
"Matterhorn, Alpine beauty in Switzerland.",Matterhorn
"Pikes Peak, Colorado's famous landmark.",Pikes Peak
"Fuji, Japan's serene volcanic symbol.",Fuji
"Aconcagua, South America's highest ascent.",Aconcagua
"Elbrus, Europe's towering mountain.",Elbrus
Andes showcase Aconcagua's grandeur.,Aconcagua
"Rainier, Washington's volcanic beauty.",Rainier
"Alps, featuring Mont Blanc's splendor.",Mont Blanc
"Himalaya, home to K2's challenging ascent.",K2
"Whitney, USA's highest Sierra summit.",Whitney
"Olympus, mythical peak in Greece.",Olympus
"Grand Teton, Wyoming's stunning mountain.",Grand Teton
"McKinley, Alaska's pride and glory.",McKinley
"Logan, Canada's towering summit.",Logan
"Mauna Kea, Hawaii's sacred volcanic peak.",Mauna Kea
"Etna, Europe's fiery stratovolcano.",Etna
"Hood, iconic peak in the Cascades.",Hood
St. Helens erupted catastrophically in 1980.,St. Helens
"Vesuvius, known for AD 79 eruption.",Vesuvius
"Shasta, California's spiritual landmark.",Shasta
"Cook, New Zealand's crown jewel.",Cook
"Logan, part of majestic St. Elias Range.",Logan
"Elbert, Colorado's highest summit.",Elbert
"Denali, officially McKinley's name.",Denali
"Everest, world's towering peak.",Everest
"Kilimanjaro, Africa's majestic summit.",Kilimanjaro
"Matterhorn, Alpine beauty in Switzerland.",Matterhorn
"Denali, North America's towering peak.",Denali
"Kilimanjaro, Africa's iconic volcano.",Kilimanjaro
"Matterhorn, Alpine beauty in Switzerland.",Matterhorn
"Pikes Peak, Colorado's famous landmark.",Pikes Peak
"Fuji, Japan's serene volcanic symbol.",Fuji
"Aconcagua, South America's highest ascent.",Aconcagua
"Elbrus, Europe's towering mountain.",Elbrus
Andes showcase Aconcagua's grandeur.,Aconcagua
"Rainier, Washington's volcanic beauty.",Rainier
"Alps, featuring Mont Blanc's splendor.",Mont Blanc
"Himalaya, home to K2's challenging ascent.",K2
"Whitney, USA's highest Sierra summit.",Whitney
"Olympus, mythical peak in Greece.",Olympus
"Grand Teton, Wyoming's stunning mountain.",Grand Teton
"McKinley, Alaska's pride and glory.",McKinley
"Logan, Canada's towering summit.",Logan
"Mauna Kea, Hawaii's sacred volcanic peak.",Mauna Kea
"Etna, Europe's fiery stratovolcano.",Etna
"Hood, iconic peak in the Cascades.",Hood
St. Helens erupted catastrophically in 1980.,St. Helens
"Vesuvius, known for AD 79 eruption.",Vesuvius
"Shasta, California's spiritual landmark.",Shasta
"Cook, New Zealand's crown jewel.",Cook
"Logan, part of majestic St. Elias Range.",Logan
"Elbert, Colorado's highest summit.",Elbert
"Denali, officially McKinley's name.",Denali
"Everest, world's towering peak.",Everest
"Kilimanjaro, Africa's majestic summit.",Kilimanjaro
"Matterhorn, Alpine beauty in Switzerland.",Matterhorn
"Pikes Peak, Colorado's famous landmark.",Pikes Peak
"Fuji, Japan's serene volcanic symbol.",Fuji
"Aconcagua, South America's highest ascent.",Aconcagua
"Elbrus, Europe's towering mountain.",Elbrus
Andes showcase Aconcagua's grandeur.,Aconcagua
"Rainier, Washington's volcanic beauty.",Rainier
"Alps, featuring Mont Blanc's splendor.",Mont Blanc
"Himalaya, home to K2's challenging ascent.",K2
"Whitney, USA's highest Sierra summit.",Whitney
"Olympus, mythical peak in Greece.",Olympus
"Grand Teton, Wyoming's stunning mountain.",Grand Teton
"McKinley, Alaska's pride and glory.",McKinley
"Logan, Canada's towering summit.",Logan
"Mauna Kea, Hawaii's sacred volcanic peak.",Mauna Kea
